filename,technical_score,novelty_score,significance_score,clarity_score,total_score,ground_truth
"Fall 2021 - Classification of Medical Imagery using DL ()by Alex Loia, Alex Nam - 102543599.pdf",37,11,10,20,78,Outstanding
"Fall 2021 - Deep Songwriter (Music Generator Using Deep Learning)by Roy Park, Hyun Soo Jeon - 102955409.pdf",28,12,14,19,73,Outstanding
Fall 2021 - Denoising Diffusion Tensor Imaging (DTI)by Ariel Hannum - 103153908.pdf,38,16,19,20,93,Outstanding
Fall 2021 - Face Age Prediction with Small Datasetby Brian Jang - 102913899.pdf,27,14,19,20,80,Outstanding
"Fall 2021 - Gesture Evolution - Understanding the Nonverbal Communication of Creative Design Teamsby Lawrence Domingo, Kyle Tadao Yoshida - 103071419.pdf",34,16,16,19,85,Outstanding
"Fall 2021 - Identifying presence or absence of seismic facies types in geological images using deep learningby Joe Dalton Stitt, Adam Shugar, Rachael Liu Wang - 102744810.pdf",34,16,19,14,83,Outstanding
Fall 2021 - Image Exposure Correction with DNNby ZhuoYi Cai - 102730335.pdf,35,19,17,20,91,Outstanding
"Fall 2021 - In Learning we Truss Structural Design Optimization Using Deep Learningby Vicente Ariztia, Amber Zoe Yang - 102699970.pdf",28,17,19,17,81,Outstanding
Fall 2021 - Neural networks explanation models to support earthquake mitigation decision-makingby Rodrigo Ivan Silva Lopez - 102891590.pdf,27,16,19,14,76,Outstanding
Fall 2021 - Overwatch (FPS Game) self-play AI botby Chenyang Dai - 102988723.pdf,28,18,14,18,78,Outstanding
"Fall 2021 - Predicting Regional US COVID Risk Using Publicly Available Satellite Imagesby Amy Yue Zhang, Sameer Sundrani - 102717926.pdf",36,16,19,18,89,Outstanding
"Fall 2021 - Sea Otter Detection from Aerial Imaging Databy Salman Mohammed, Carlota Pares Morlans, Margaret Daly - 103120671.pdf",38,17,20,20,95,Outstanding
"Fall 2021 - Turbulence error correctionby Ryan Hass, Kyle Pietrzyk, Olivia Grace Martin - 102843826.pdf",37,17,18,20,92,Outstanding
"Fall 2021 - Use Hyperspectral Satellite Images to Predict Carbon Soil Levelsby James Milan Kanoff, Qianli Song, Arjun Jayant Deopujari - 103175852.pdf",28,16,20,20,84,Outstanding
Winter 2021 - ArXiv paper recommenderby Milind Shyani - 70758899.pdf,37,17,17,20,91,Outstanding
"Winter 2021 - Challenges in Scalable Distributed Training of Deep Neural Networks under communication constraintsby Akshay Nalla, Kate Pistunova, Rajarshi Saha - 70762032.pdf",25,19,16,17,77,Outstanding
